,0
0,85.91938
1,86.29898
2,81.79521
3,85.203
4,85.13983
5,85.69836
6,85.75468
7,85.74174
8,85.72258
9,85.75038
10,85.67142
11,85.750984
12,85.6964
13,86.52854
14,85.9641
15,85.7091
16,86.50125
17,85.144424
18,85.06935
19,85.85677
20,85.46747
21,86.40434
22,85.93823
23,85.75325
24,85.72824
25,85.75306
26,85.70005
27,85.35953
28,85.6648
29,85.330475
30,82.30609
31,85.5656
32,85.42501
33,85.43109
34,81.98557
35,81.79521
36,81.79521
37,81.558624
38,86.00139
39,85.01552
40,82.33957
41,85.11706
42,80.877045
43,80.829865
44,82.24051
45,82.187645
46,82.149666
47,86.30835
48,81.59073
49,85.86952
50,86.06807
51,82.28746
52,82.23947
53,82.22014
54,85.88041
55,81.98967
56,81.554436
57,83.76438
58,82.363144
59,86.16204
60,85.03611
61,83.64875
62,80.37519
63,81.79521
64,85.85677
65,85.15264
66,85.21257
67,85.09836
68,84.46542
69,85.0081
70,85.60068
71,85.45929
72,86.00609
73,86.01871
74,85.67572
75,85.38604
76,85.08978
77,85.00639
78,85.99375
79,85.16894
80,85.81515
81,85.73837
82,86.19798
83,85.5967
84,85.94524
85,86.19484
86,86.474174
87,85.72097
88,85.167534
89,84.920555
90,85.017334
91,86.24569
92,84.69591
93,83.52467
94,84.97999
95,82.27878
96,85.54788
97,80.95025
98,80.95025
99,85.87243
100,80.06865
101,82.010735
102,80.69138
103,83.354935
104,80.82415
105,80.645454
106,86.39688
107,82.408005
108,85.50876
109,81.49378
110,85.88201
111,81.79521
112,81.79521
113,81.79521
114,85.92732
115,81.79521
116,81.954384
117,85.3284
118,85.20579
119,85.68874
120,80.9253
121,86.00733
122,85.75344
123,86.42399
124,86.91736
125,85.17645
126,85.48163
127,82.36108
128,81.79521
129,81.79521
130,85.76106
131,81.79521
132,86.31922
133,86.44352
134,85.18791
135,84.553345
136,85.518
137,86.26238
138,85.19261
139,85.68839
140,85.34344
141,85.189896
142,85.14229
143,84.61995
144,85.75165
145,85.72771
146,86.22168
147,85.09058
148,84.51347
149,85.07524
150,85.16197
151,85.15187
152,85.08804
153,86.28377
154,85.30349
155,85.712845
156,82.40745
157,80.77514
158,81.79521
159,82.41092
160,85.90406
161,81.79521
162,81.79521
163,82.37802
164,82.33957
165,85.06691
166,85.10394
167,81.79521
168,82.408905
169,81.79521
170,86.366425
171,86.115776
172,86.05418
173,85.12466
174,80.79874
175,86.1937
176,84.579
177,84.389595
178,84.88643
179,80.866104
180,81.79521
181,84.52236
182,86.04912
183,85.53103
184,86.18905
185,84.874
186,84.53506
187,84.60072
188,85.015526
189,84.5398
190,83.691185
191,84.661125
192,84.566826
193,82.30159
194,85.04643
195,84.69868
196,85.94898
197,81.98459
198,82.31698
199,85.84593
200,85.589714
201,85.79804
202,81.277374
203,85.45787
204,85.53224
205,85.44819
206,85.44667
207,85.44717
208,85.446594
209,81.79521
210,82.182594
211,85.86188
212,81.79521
213,82.2459
214,86.33264
215,86.330315
216,82.378716
217,81.79521
218,81.79521
219,81.79521
220,82.28746
221,81.79521
222,82.308014
223,85.428734
224,85.355965
225,84.903496
226,86.35956
227,85.871086
228,86.388916
229,85.87996
230,86.05313
231,81.40848
232,86.19817
233,86.31808
234,85.88496
235,81.87495
236,81.705696
237,81.13989
238,84.5164
239,84.520546
240,82.175476
241,84.81947
242,85.13172
243,85.59299
244,82.29665
245,84.83565
246,81.79521
247,85.05959
248,80.83913
249,82.2138
250,82.19815
251,82.00392
252,85.737946
253,85.7376
254,85.255905
255,85.23718
256,85.36809
257,81.79521
258,81.79521
259,80.984825
260,81.70692
261,81.79521
262,85.2654
263,81.79521
264,84.780235
265,81.79521
266,80.73886
267,81.79521
268,82.33957
269,82.33957
270,82.258156
271,84.78221
272,81.79521
273,81.49378
274,81.79521
275,84.780235
276,82.28746
277,84.8188
278,81.79521
279,81.79521
280,81.90884
281,80.87024
282,82.16171
283,81.79521
284,81.79521
285,81.79521
286,82.13132
287,85.3816
288,86.21505
289,86.25941
290,85.75005
291,81.79521
292,81.79521
293,81.79521
294,81.79521
295,81.79521
296,85.50241
297,85.7157
298,84.97584
299,81.79521
300,86.05792
301,81.79521
302,85.65709
303,85.73902
304,86.264755
305,85.894615
306,86.22362
307,81.79521
308,81.79521
309,80.79638
