,0
0,86.21011
1,86.09176
2,86.098724
3,86.11212
4,86.09591
5,86.101494
6,86.15002
7,86.2597
8,86.259056
9,86.00877
10,86.08493
11,86.09056
12,86.08449
13,86.09194
14,86.095406
15,86.094055
16,86.09195
17,86.28946
18,86.28903
19,86.28979
20,86.29
21,86.29956
22,86.26227
23,86.25979
24,86.30277
25,86.303375
26,86.293434
27,85.55932
28,85.985275
29,85.99549
30,86.001305
31,86.06
32,86.06785
33,86.0725
34,86.08348
35,86.08244
36,86.06261
37,86.28955
38,86.28952
39,86.28703
40,86.28683
41,86.286514
42,86.285934
43,86.286896
44,86.286316
45,86.28603
46,86.28609
47,86.28562
48,86.28611
49,86.28546
50,86.28592
51,86.28636
52,86.28901
53,86.289055
54,86.28898
55,86.28895
56,85.10182
57,85.15504
58,85.08434
59,85.104485
60,85.086685
61,85.08157
62,85.05896
63,85.05427
64,85.138916
65,85.1368
66,85.17435
67,85.183365
68,85.14861
69,85.181625
70,85.23467
71,85.253624
72,85.14465
73,85.089516
74,85.03632
75,85.031075
76,85.0291
77,85.02721
78,85.02763
79,85.02858
80,86.28547
81,86.28545
82,86.28712
83,86.289085
84,86.28902
85,86.28888
86,86.28548
87,86.28651
88,85.02615
89,85.03316
90,85.03764
91,85.034004
92,85.024574
93,85.01595
94,85.032455
95,86.09796
96,86.08754
97,86.05865
98,86.00847
99,86.28641
100,86.27817
101,85.03217
102,85.02249
103,85.07226
104,85.090775
105,85.06361
106,86.29026
107,86.28662
108,86.13202
109,86.18007
110,86.2895
111,86.30822
112,86.31133
113,86.30489
114,86.30414
115,85.99555
116,85.99483
117,85.993904
118,85.8463
119,86.28651
120,86.28633
121,86.1295
122,86.00876
123,86.29972
124,86.30667
125,86.08619
126,85.032906
127,85.63186
128,85.779625
129,86.25976
130,86.247375
131,86.24133
132,86.25915
133,86.286446
134,85.14865
135,85.07459
136,85.13838
137,85.23503
138,85.09057
139,85.08855
140,85.02461
141,85.028625
142,85.16778
143,85.23337
144,85.23337
145,85.31716
146,85.27413
147,85.03409
148,85.04625
149,85.0602
150,85.08374
151,85.06716
152,85.03705
153,85.123604
154,85.06957
155,85.517586
156,85.51814
157,86.2851
158,85.05427
159,85.08352
160,86.29662
161,86.31135
162,85.028015
163,85.05444
164,85.05291
165,85.793785
166,86.28743
167,85.02785
168,85.3153
169,85.06269
170,86.2895
171,86.289604
172,86.2896
173,86.28928
174,86.42734
175,86.39022
176,85.03383
177,85.03582
178,85.03218
179,85.02544
180,85.02432
181,85.05426
182,85.07909
183,85.17398
184,85.53325
185,85.49228
186,85.07611
187,85.089165
188,85.07273
189,85.0858
190,85.02714
191,85.030106
192,85.13556
193,85.030594
194,86.09806
195,86.09659
196,86.09444
197,86.09242
198,86.09204
199,86.09802
200,86.09983
201,86.0987
202,86.09949
203,86.093025
204,86.15002
205,86.0856
206,86.08444
207,86.084816
208,86.08439
209,86.09403
210,86.09431
211,86.09463
212,86.29805
213,86.27178
214,86.26159
215,86.28208
216,85.86699
217,85.967094
218,85.99484
219,86.06785
220,86.25987
221,86.24798
222,85.994995
223,86.0985
224,86.28714
225,86.284744
226,86.285805
227,86.28597
228,86.28886
229,86.28884
230,86.285515
231,86.287346
232,86.287094
233,86.288765
234,86.29045
235,86.28947
236,85.559425
237,85.03607
238,85.03247
239,85.05099
240,85.0424
241,85.04102
242,85.03852
243,85.039734
244,85.03871
245,85.03886
246,85.0385
247,85.03929
248,85.03788
249,85.041115
250,85.052475
251,85.041725
252,85.03908
253,85.0508
254,85.04299
255,85.03499
256,85.03972
257,85.99494
258,86.393524
259,85.03973
260,86.26941
261,85.48732
262,85.487114
263,85.48732
264,85.48732
265,85.48732
266,85.51176
267,85.489525
268,85.48716
269,85.487526
270,85.48772
271,85.489624
272,85.489456
273,85.48899
274,85.48639
275,85.48732
276,85.48773
277,85.5322
278,85.84625
279,86.09703
280,86.098114
281,86.09562
282,86.09806
283,86.09737
284,86.09737
285,86.09735
286,86.09821
287,86.09828
288,86.097786
289,86.09773
290,86.09732
291,86.09708
292,86.09708
293,86.09732
294,86.09732
295,86.09732
296,86.09839
297,86.09739
298,86.083534
299,86.09396
300,86.09473
301,86.09394
302,86.09495
303,86.091415
304,86.091835
305,86.091385
306,86.09183
307,86.097885
308,86.097885
309,86.095024
310,86.098145
311,86.09871
312,86.09871
313,86.09868
314,86.09868
315,86.09849
316,86.09849
317,86.093025
318,86.093025
319,86.084816
320,86.084816
321,86.15002
322,86.15002
323,86.11107
324,86.11107
325,86.111206
326,86.111206
327,86.23992
328,86.23992
329,86.24149
330,86.24106
331,86.259125
332,86.259125
333,86.25914
334,86.25914
335,86.2591
336,86.2591
337,86.25975
338,86.25975
339,86.260414
340,86.26041
341,86.20819
342,86.20819
343,86.08493
344,86.08493
345,86.0853
346,86.084465
347,86.08444
348,86.0846
349,86.08439
350,86.0847
351,86.084335
352,86.08518
353,86.090546
354,86.090546
355,86.09432
356,86.09432
357,86.09447
358,86.09405
359,86.09411
360,86.095116
361,86.09403
362,86.09509
363,86.094025
364,86.094025
365,86.098755
366,86.098755
367,86.09144
368,86.091835
369,86.0915
370,86.09193
371,86.09161
372,86.09161
373,86.28956
374,86.2898
375,86.28954
376,86.289764
377,86.2895
