,0
0,82.02343
1,-0.10352093
2,-0.103544265
3,-0.10352507
4,-0.10352519
5,-0.10351783
6,-0.10352206
7,-0.10352641
8,-0.10352036
9,-0.10352206
10,-0.10352132
11,-0.10352096
12,-0.103520274
13,82.02345
14,-0.10352588
15,-0.10351899
16,82.02346
17,-0.103530645
18,-0.1035271
19,-0.10352358
20,-0.103529245
21,82.02345
22,-0.10352954
23,-0.10352188
24,-0.10352206
25,-0.10352188
26,-0.10352412
27,-0.10352844
28,-0.103523225
29,82.023445
30,-0.103547335
31,82.02342
32,82.023445
33,82.023445
34,-0.103550255
35,-0.103544265
36,-0.103544265
37,-0.10354996
38,82.02342
39,-0.10355511
40,-0.10355222
41,82.023445
42,-0.103550255
43,-0.103556275
44,-0.10354835
45,-0.103547335
46,-0.10354948
47,82.02343
48,-0.1035575
49,82.023445
50,-0.10355526
51,-0.10355213
52,-0.10354939
53,-0.10355267
54,82.023445
55,-0.10355005
56,-0.10355052
57,82.02345
58,-0.10355154
59,-0.103527784
60,82.02344
61,82.023445
62,-0.10355309
63,-0.103544265
64,-0.103523105
65,-0.1035223
66,-0.10353097
67,-0.10352689
68,82.02345
69,-0.10352859
70,-0.103530735
71,-0.10352653
72,-0.10352367
73,-0.10352987
74,-0.1035223
75,82.02346
76,82.02345
77,82.02345
78,-0.103520215
79,-0.1035274
80,-0.103523254
81,-0.10352188
82,-0.10352376
83,-0.10352841
84,-0.10352337
85,-0.10352552
86,82.023445
87,-0.10351899
88,-0.10352644
89,82.02345
90,82.02345
91,-0.10352197
92,-0.10354999
93,82.02343
94,82.02344
95,-0.10354644
96,82.02343
97,-0.10355204
98,-0.10355204
99,-0.103544265
100,-0.10355461
101,-0.1035496
102,-0.10355279
103,-0.10354787
104,-0.103553
105,-0.103545934
106,-0.103545934
107,-0.103550375
108,-0.103544265
109,-0.103545755
110,82.023445
111,-0.103544265
112,-0.103544265
113,-0.103544265
114,-0.103544265
115,-0.103544265
116,-0.103554845
117,82.023445
118,82.023445
119,-0.10352206
120,-0.103551656
121,-0.10352695
122,-0.10352188
123,82.02346
124,82.02345
125,-0.103523314
126,82.02345
127,-0.103547454
128,-0.103544265
129,-0.103544265
130,-0.103544265
131,-0.103544265
132,82.02346
133,82.02346
134,82.02345
135,-0.103526354
136,82.023476
137,-0.10352063
138,-0.10352951
139,-0.1035223
140,82.02346
141,-0.10352263
142,-0.10352802
143,82.023445
144,-0.10352206
145,-0.103524536
146,-0.10352594
147,-0.10352957
148,82.02345
149,-0.10352814
150,-0.10352513
151,82.02345
152,-0.10352206
153,-0.10352552
154,82.02346
155,-0.10352275
156,-0.103549
157,-0.10354546
158,-0.103544265
159,-0.10355076
160,82.023445
161,-0.103544265
162,-0.103544265
163,-0.10355157
164,-0.10355222
165,82.023445
166,82.023445
167,-0.103544265
168,-0.103551656
169,-0.103544265
170,82.02344
171,82.023445
172,82.023445
173,82.02345
174,-0.10354966
175,-0.103544265
176,82.02344
177,82.02342
178,82.023445
179,-0.1035499
180,-0.103544265
181,82.023445
182,-0.103527546
183,82.02347
184,-0.10352689
185,82.02346
186,82.02346
187,82.02345
188,82.02346
189,82.023445
190,82.02345
191,82.02342
192,82.023445
193,-0.10354453
194,82.02343
195,82.023445
196,82.023445
197,-0.1035482
198,-0.10355371
199,82.023445
200,82.02342
201,82.02344
202,-0.10354474
203,82.023445
204,82.023445
205,82.023445
206,82.023445
207,82.023445
208,82.023445
209,-0.103544265
210,-0.10355055
211,82.023445
212,-0.103544265
213,-0.103545636
214,82.023445
215,82.02344
216,-0.10354972
217,-0.103544265
218,-0.103544265
219,-0.103544265
220,-0.10355213
221,-0.103544265
222,-0.10355297
223,82.02342
224,82.023445
225,82.02344
226,82.023445
227,82.023445
228,82.023445
229,82.023445
230,-0.10352567
231,-0.10355058
232,82.023445
233,82.02343
234,82.023445
235,-0.10354802
236,-0.103548676
237,-0.10354811
238,82.02343
239,82.023445
240,-0.10355201
241,82.023445
242,82.02345
243,-0.10352188
244,-0.10354459
245,82.023445
246,-0.103544265
247,82.02344
248,-0.10354999
249,-0.10354757
250,-0.103547335
251,-0.10355133
252,-0.10352206
253,-0.10352206
254,-0.10353169
255,82.02345
256,-0.10352522
257,-0.103544265
258,-0.103544265
259,-0.10355267
260,-0.103548616
261,-0.103544265
262,82.02344
263,-0.103544265
264,82.023445
265,-0.103544265
266,-0.1035521
267,-0.103544265
268,-0.10355222
269,-0.10355222
