,0
0,86.28061
1,86.83866
2,81.68121
3,86.68747
4,85.49852
5,86.74863
6,85.87964
7,86.81995
8,86.82967
9,86.728355
10,86.744225
11,86.7524
12,85.86267
13,86.83915
14,85.91916
15,86.754036
16,86.826065
17,86.75297
18,85.54431
19,85.92203
20,85.78868
21,86.84774
22,85.93565
23,85.87887
24,86.86109
25,85.87892
26,85.85011
27,85.71466
28,85.86585
29,85.89149
30,82.11337
31,86.07066
32,85.98717
33,85.993034
34,86.10979
35,81.68121
36,81.68121
37,81.55463
38,86.32736
39,85.889175
40,82.132286
41,86.007774
42,85.919754
43,80.92274
44,86.39473
45,82.02647
46,86.37641
47,86.402565
48,86.25889
49,86.29102
50,86.34484
51,86.40322
52,86.39774
53,86.394135
54,86.29548
55,81.85093
56,84.93422
57,84.61579
58,82.145615
59,85.99612
60,85.39901
61,84.43554
62,80.51294
63,81.68121
64,85.89766
65,86.54837
66,85.72502
67,85.45648
68,86.401436
69,85.53605
70,85.8414
71,86.60304
72,85.948456
73,85.96002
74,85.87872
75,86.573456
76,86.53504
77,86.53479
78,85.96683
79,86.46291
80,85.90912
81,85.878914
82,86.00308
83,85.82798
84,86.87878
85,86.924706
86,86.85531
87,85.879555
88,85.526596
89,86.51705
90,86.51202
91,86.01343
92,85.14625
93,84.31535
94,85.35383
95,86.24521
96,86.0685
97,81.09868
98,81.09868
99,86.29221
100,80.40196
101,85.146904
102,84.22266
103,84.17495
104,80.91714
105,84.21114
106,86.42166
107,82.18001
108,86.06698
109,86.03054
110,86.296135
111,81.68121
112,81.68121
113,86.31564
114,86.31469
115,85.89156
116,85.99205
117,85.88933
118,85.73723
119,86.84954
120,85.974174
121,85.96057
122,86.72822
123,86.85804
124,86.92504
125,86.6791
126,86.58613
127,82.175095
128,85.59109
129,81.68121
130,86.24333
131,81.68121
132,86.83031
133,86.84274
134,86.548935
135,86.402855
136,86.59201
137,86.020996
138,86.46588
139,86.54217
140,86.55492
141,85.7079
142,86.4246
143,85.123
144,85.87988
145,86.559906
146,86.00216
147,85.43711
148,86.42683
149,86.41776
150,85.694244
151,86.53994
152,86.5362
153,86.62742
154,86.56758
155,85.875656
156,82.17926
157,85.843925
158,85.01292
159,85.432686
160,86.30517
161,81.68121
162,84.996666
163,82.15402
164,82.132286
165,85.61086
166,85.98187
167,81.68121
168,82.18122
169,85.01813
170,86.410324
171,86.36029
172,86.34399
173,86.013885
174,80.89221
175,86.40641
176,85.05456
177,84.948395
178,85.29664
179,80.95829
180,84.994385
181,85.01291
182,86.58107
183,86.59556
184,85.99419
185,86.53957
186,86.40154
187,86.473175
188,86.51463
189,85.032425
190,84.543434
191,85.10951
192,85.063065
193,85.34388
194,85.83106
195,85.55841
196,86.256424
197,86.11951
198,86.24918
199,86.231316
200,86.102036
201,86.212524
202,81.38866
203,86.01893
204,86.088806
205,86.00957
206,86.0081
207,86.008575
208,86.008026
209,86.020195
210,86.213455
211,86.236435
212,81.68121
213,86.38277
214,86.39285
215,86.40205
216,82.18889
217,85.85271
218,85.8906
219,81.68121
220,82.11084
221,81.68121
222,82.128784
223,86.0138
224,86.176895
225,85.793816
226,86.40766
227,86.291664
228,86.41297
229,86.295296
230,86.89986
231,86.22124
232,86.37931
233,86.40534
234,86.29734
235,86.31293
236,81.64007
237,84.694595
238,85.00593
239,85.01088
240,82.015366
241,86.49068
242,86.5359
243,85.879074
244,85.34646
245,85.258865
246,81.68121
247,85.40164
248,84.35895
249,85.30238
250,82.03604
251,81.85606
252,85.87965
253,86.537926
254,86.47091
255,86.53799
256,85.769424
257,85.89074
258,86.409325
259,81.196556
260,81.64069
261,81.68121
262,85.65266
263,81.68121
264,85.30059
265,81.68121
266,84.6255
267,85.302635
268,85.6527
269,82.132286
270,85.61723
271,85.302734
272,85.302574
273,81.51636
274,85.29972
275,85.30059
276,85.637
277,85.34236
278,85.68408
279,81.68121
280,81.77246
281,85.47682
282,86.20928
283,81.68121
284,81.68121
285,86.02434
286,81.97511
287,85.7639
288,86.01316
289,86.0171
290,85.879745
291,81.68121
292,86.024
293,81.68121
294,81.68121
295,86.02431
296,85.80584
297,85.87909
298,84.98543
299,81.68121
300,85.95467
301,86.02009
302,86.14409
303,85.871124
304,86.01399
305,86.75276
306,86.83166
307,81.68121
308,81.68121
309,85.42089
310,86.8262
311,86.02601
312,85.87742
313,81.68121
314,81.68121
315,81.68121
316,81.68121
317,81.68121
318,86.01893
319,81.68121
320,81.68121
321,81.68121
322,81.68121
323,81.68121
324,85.87919
325,81.68121
326,85.87835
327,86.816414
328,85.878586
329,86.87056
330,81.68121
331,86.25815
332,86.25815
333,81.68121
334,81.68121
335,86.25812
336,81.68121
337,86.25894
338,86.25894
339,85.87975
340,85.878815
341,85.877525
342,81.68121
343,86.00871
344,81.68121
345,81.99196
346,81.68121
347,86.0081
348,86.17659
349,86.008026
350,86.270035
351,86.007965
352,86.19234
353,81.68121
354,86.01579
355,81.68121
356,81.68121
357,85.67293
358,85.879105
359,86.020294
360,81.864784
361,81.68121
362,81.802055
363,81.68121
364,81.68121
365,85.85414
366,86.75267
367,86.75322
368,82.167755
369,81.68121
370,86.2631
371,81.68121
372,81.68121
373,86.29621
374,86.40518
375,85.87906
376,86.00625
377,86.296135
378,86.296135
379,82.02713
380,81.68121
381,82.11084
382,81.68121
383,86.29622
384,81.68121
385,82.15116
386,86.29645
387,80.82343
388,81.68121
389,86.30033
390,81.68121
391,81.68121
392,81.68121
393,86.30402
394,81.68121
395,81.68121
396,81.68121
397,81.68121
398,86.30883
399,86.306595
400,86.306595
401,81.68121
402,81.68121
403,81.68121
404,86.301025
405,85.36613
406,81.68121
407,81.91554
408,82.02647
409,81.68121
410,85.875175
411,81.68121
412,81.68121
413,85.890045
414,85.890045
415,81.68121
416,81.68121
417,85.87947
418,85.558945
419,86.72733
420,86.7277
421,81.68121
422,85.879265
423,85.8799
424,85.87529
425,86.850945
426,86.00226
427,85.87845
428,82.11084
429,86.85141
430,86.85122
431,86.84964
432,85.87469
433,86.84924
434,82.196846
435,86.41696
436,85.87897
437,85.96098
438,86.29167
439,86.84701
440,86.29201
441,81.68121
442,86.29197
443,82.132286
444,81.68121
445,86.2954
446,86.29914
447,86.40294
448,81.68121
449,86.848816
450,86.91927
451,86.84702
452,86.39113
453,81.68121
454,86.29106
455,81.68121
456,86.71294
457,81.68121
458,86.847374
459,86.368515
460,81.68121
461,86.83161
