,Node_indicator,head
0,1.0,86.2727279663086
1,3.0,86.0191879272461
2,4.0,86.03068542480469
3,5.0,86.0508804321289
4,6.0,86.02885437011719
5,7.0,86.0350570678711
6,8.0,86.11160278320312
7,9.0,86.42418670654297
8,10.0,86.42398071289062
9,11.0,85.88878631591797
10,12.0,86.00892639160156
11,13.0,86.01780700683594
12,14.0,86.00823211669922
13,15.0,86.01948547363281
14,16.0,86.02377319335938
15,17.0,86.0233154296875
16,18.0,86.01915740966797
17,19.0,86.53483581542969
18,20.0,86.5350341796875
19,21.0,86.535400390625
20,22.0,86.53468322753906
21,23.0,86.57208251953125
22,24.0,86.43363952636719
23,25.0,86.42621612548828
24,26.0,86.58409881591797
25,27.0,86.58637237548828
26,28.0,86.54915618896484
27,59.0,85.27664947509766
28,64.0,85.8517074584961
29,65.0,85.86782836914062
30,66.0,85.87610626220703
31,67.0,85.96793365478516
32,68.0,85.98197937011719
33,69.0,85.98931884765625
34,70.0,86.0050048828125
35,71.0,86.0050048828125
36,72.0,85.97370147705078
37,73.0,86.53292083740234
38,74.0,86.5328369140625
39,75.0,86.52888488769531
40,76.0,86.52365112304688
41,77.0,86.52381896972656
42,78.0,86.52349853515625
43,79.0,86.5283432006836
44,80.0,86.52216339111328
45,81.0,86.52027130126953
46,82.0,86.52037811279297
47,83.0,86.51953125
48,84.0,86.52001953125
49,85.0,86.51934814453125
50,86.0,86.51947021484375
51,87.0,86.52230834960938
52,88.0,86.53153991699219
53,89.0,86.53166961669922
54,90.0,86.53250122070312
55,91.0,86.53221893310547
56,119.0,84.92216491699219
57,120.0,84.9588623046875
58,121.0,84.91168975830078
59,122.0,84.92456817626953
60,123.0,84.91319274902344
61,124.0,84.9126205444336
62,125.0,84.91143035888672
63,126.0,84.89270782470703
64,132.0,84.94644165039062
65,133.0,84.94681549072266
66,134.0,84.97028350830078
67,135.0,84.98281860351562
68,136.0,84.96196746826172
69,137.0,84.9787826538086
70,138.0,85.00924682617188
71,139.0,85.0231704711914
72,140.0,84.950439453125
73,141.0,84.91436004638672
74,142.0,84.88094329833984
75,143.0,84.87598419189453
76,144.0,84.87620544433594
77,145.0,84.87496948242188
78,146.0,84.87498474121094
79,147.0,84.8749008178711
80,148.0,86.519287109375
81,149.0,86.519287109375
82,150.0,86.52513885498047
83,151.0,86.53118133544922
84,152.0,86.53105926513672
85,153.0,86.53129577636719
86,154.0,86.51933288574219
87,155.0,86.52323913574219
88,182.0,84.87725067138672
89,183.0,84.87886810302734
90,184.0,84.88009643554688
91,185.0,84.87884521484375
92,186.0,84.8730697631836
93,187.0,84.87187957763672
94,188.0,84.8775634765625
95,230.0,86.02851867675781
96,231.0,86.01131439208984
97,241.0,85.96792602539062
98,242.0,85.88876342773438
99,243.0,86.52285766601562
100,244.0,86.52210235595703
101,252.0,84.87662506103516
102,253.0,84.8791732788086
103,254.0,84.91431427001953
104,255.0,84.9204330444336
105,256.0,84.90734100341797
106,287.0,86.53681945800781
107,288.0,86.5230941772461
108,289.0,86.08321380615234
109,290.0,86.1805648803711
110,296.0,86.53443908691406
111,297.0,86.6044921875
112,298.0,86.61615753173828
113,299.0,86.59203338623047
114,300.0,86.58921813964844
115,303.0,85.867919921875
116,304.0,85.86664581298828
117,305.0,85.86532592773438
118,306.0,85.63240051269531
119,310.0,86.52323913574219
120,312.0,86.52371978759766
121,324.0,86.0789794921875
122,326.0,85.88876342773438
123,327.0,86.57270050048828
124,328.0,86.59774780273438
125,329.0,86.00997924804688
126,339.0,84.87738800048828
127,340.0,85.35303497314453
128,341.0,85.52728271484375
129,358.0,86.42613220214844
130,365.0,86.38822174072266
131,366.0,86.36974334716797
132,367.0,86.42426300048828
133,375.0,86.52124786376953
134,376.0,84.95458221435547
135,410.0,84.91169738769531
