,residuals
1464,-1.0581283569335938
1471,-1.0581283569335938
1483,-1.0581283569335938
1489,-1.0581283569335938
1510,-1.0581283569335938
1515,-1.0581283569335938
1522,-1.0581283569335938
1534,-1.0581283569335938
1540,-1.0581283569335938
1561,-1.0581283569335938
1566,-1.0581283569335938
1573,-1.0581283569335938
1585,-1.0581283569335938
1591,-1.0581283569335938
1612,-1.0581283569335938
1617,-1.0581283569335938
1624,-1.0581283569335938
1636,-1.0581283569335938
1642,-1.0581283569335938
1663,-1.0581283569335938
1668,-1.0581283569335938
1675,-1.0581283569335938
1687,-1.0581283569335938
1693,-1.0581283569335938
1714,-1.0581283569335938
1719,-1.0581283569335938
1726,-1.0581283569335938
1738,-1.0581283569335938
1744,-1.0581283569335938
1765,-1.0581283569335938
1770,-1.0581283569335938
1777,-1.0581283569335938
1789,-1.0581283569335938
1795,-1.0581283569335938
1816,-1.0581283569335938
1821,-1.0581283569335938
1828,-1.0581283569335938
1840,-1.0581283569335938
1846,-1.0581283569335938
1867,-1.0581283569335938
1872,-1.0581283569335938
1879,-1.0581283569335938
1891,-1.0581283569335938
1897,-1.0581283569335938
1918,-1.0581283569335938
1923,-1.0581283569335938
1930,-1.0581283569335938
1942,-1.0581283569335938
1948,-1.0581283569335938
1969,-1.0581283569335938
1974,-1.0581283569335938
1981,-1.0581283569335938
1993,-1.0581283569335938
1999,-1.0581283569335938
2020,-1.0581283569335938
2025,-1.0581283569335938
2032,-1.0581283569335938
2044,-1.0581283569335938
2050,-1.0581283569335938
2071,-1.0581283569335938
2076,-1.0581283569335938
2083,-1.0581283569335938
2095,-1.0581283569335938
2101,-1.0581283569335938
2122,-1.0581283569335938
2127,-1.0581283569335938
2134,-1.0581283569335938
2146,-1.0581283569335938
2152,-1.0581283569335938
2173,-1.0581283569335938
2178,-1.0581283569335938
2185,-1.0581283569335938
2197,-1.0581283569335938
2203,-1.0581283569335938
2224,-1.0581283569335938
2229,-1.0581283569335938
2236,-1.0581283569335938
2248,-1.0581283569335938
2254,-1.0581283569335938
2275,-1.0581283569335938
2280,-1.0581283569335938
2287,-1.0581283569335938
2299,-1.0581283569335938
2305,-1.0581283569335938
2326,-1.0581283569335938
2331,-1.0581283569335938
2338,-1.0581283569335938
2350,-1.0581283569335938
2356,-1.0581283569335938
2377,-1.0581283569335938
2382,-1.0581283569335938
2389,-1.0581283569335938
2401,-1.0581283569335938
2407,-1.0581283569335938
2428,-1.0581283569335938
2433,-1.0581283569335938
2440,-1.0581283569335938
2452,-1.0581283569335938
2458,-1.0581283569335938
2479,-1.0581283569335938
2484,-1.0581283569335938
2491,-1.0581283569335938
2503,-1.0581283569335938
2509,-1.0581283569335938
2530,-1.0581283569335938
2535,-1.0581283569335938
2542,-1.0581283569335938
2554,-1.0581283569335938
2560,-1.0581283569335938
2581,-1.0581283569335938
2586,-1.0581283569335938
2593,-1.0581283569335938
2605,-1.0581283569335938
2611,-1.0581283569335938
2632,-1.0581283569335938
2637,-1.0581283569335938
2644,-1.0581283569335938
2656,-1.0581283569335938
2662,-1.0581283569335938
2683,-1.0581283569335938
2688,-1.0581283569335938
2695,-1.0581283569335938
2707,-1.0581283569335938
2713,-1.0581283569335938
2734,-1.0581283569335938
2739,-1.0581283569335938
2746,-1.0581283569335938
2758,-1.0581283569335938
2764,-1.0581283569335938
2785,-1.0581283569335938
2790,-1.0581283569335938
2797,-1.0581283569335938
2809,-1.0581283569335938
2815,-1.0581283569335938
2836,-1.0581283569335938
2841,-1.0581283569335938
2848,-1.0581283569335938
2860,-1.0581283569335938
2866,-1.0581283569335938
2887,-1.0581283569335938
2892,-1.0581283569335938
2899,-1.0581283569335938
2911,-1.0581283569335938
2917,-1.0581283569335938
2938,-1.0581283569335938
2943,-1.0581283569335938
2950,-1.0581283569335938
2962,-1.0581283569335938
2968,-1.0581283569335938
2989,-1.0581283569335938
2994,-1.0581283569335938
3001,-1.0581283569335938
3013,-1.0581283569335938
3019,-1.0581283569335938
3040,-1.0581283569335938
3045,-1.0581283569335938
3052,-1.0581283569335938
3064,-1.0581283569335938
3070,-1.0581283569335938
3091,-1.0581283569335938
3096,-1.0581283569335938
3103,-1.0581283569335938
3115,-1.0581283569335938
3121,-1.0581283569335938
3142,-1.0581283569335938
3147,-1.0581283569335938
3154,-1.0581283569335938
3166,-1.0581283569335938
3172,-1.0581283569335938
3193,-1.0581283569335938
3198,-1.0581283569335938
3205,-1.0581283569335938
3217,-1.0581283569335938
3223,-1.0581283569335938
3244,-1.0581283569335938
3249,-1.0581283569335938
3256,-1.0581283569335938
3268,-1.0581283569335938
3274,-1.0581283569335938
3295,-1.0581283569335938
3300,-1.0581283569335938
3307,-1.0581283569335938
3319,-1.0581283569335938
3325,-1.0581283569335938
3346,-1.0581283569335938
3351,-1.0581283569335938
3358,-1.0581283569335938
3370,-1.0581283569335938
3376,-1.0581283569335938
3397,-1.0581283569335938
3402,-1.0581283569335938
3409,-1.0581283569335938
3421,-1.0581283569335938
3427,-1.0581283569335938
3448,-1.0581283569335938
3453,-1.0581283569335938
3460,-1.0581283569335938
3472,-1.0581283569335938
3478,-1.0581283569335938
3499,-1.0581283569335938
3504,-1.0581283569335938
3511,-1.0581283569335938
3523,-1.0581283569335938
3529,-1.0581283569335938
3550,-1.0581283569335938
3555,-1.0581283569335938
3562,-1.0581283569335938
3574,-1.0581283569335938
3580,-1.0581283569335938
3601,-1.0581283569335938
3606,-1.0581283569335938
3613,-1.0581283569335938
3625,-1.0581283569335938
3631,-1.0581283569335938
3652,-1.0581283569335938
3657,-1.0581283569335938
3664,-1.0581283569335938
3676,-1.0581283569335938
3682,-1.0581283569335938
3703,-1.0581283569335938
3708,-1.0581283569335938
3715,-1.0581283569335938
3727,-1.0581283569335938
3733,-1.0581283569335938
3754,-1.0581283569335938
3759,-1.0581283569335938
3766,-1.0581283569335938
3778,-1.0581283569335938
3784,-1.0581283569335938
3805,-1.0581283569335938
3810,-1.0581283569335938
3817,-1.0581283569335938
3829,-1.0581283569335938
3835,-1.0581283569335938
3856,-1.0581283569335938
3861,-1.0581283569335938
3868,-1.0581283569335938
3880,-1.0581283569335938
3886,-1.0581283569335938
3907,-1.0581283569335938
3912,-1.0581283569335938
3919,-1.0581283569335938
3931,-1.0581283569335938
3937,-1.0581283569335938
3958,-1.0581283569335938
3963,-1.0581283569335938
3970,-1.0581283569335938
3982,-1.0581283569335938
3988,-1.0581283569335938
4009,-1.0581283569335938
4014,-1.0581283569335938
4021,-1.0581283569335938
4033,-1.0581283569335938
4039,-1.0581283569335938
4060,-1.0581283569335938
4065,-1.0581283569335938
4072,-1.0581283569335938
4084,-1.0581283569335938
4090,-1.0581283569335938
4111,-1.0581283569335938
4116,-1.0581283569335938
4123,-1.0581283569335938
4135,-1.0581283569335938
4141,-1.0581283569335938
4162,-1.0581283569335938
4167,-1.0581283569335938
4174,-1.0581283569335938
4186,-1.0581283569335938
4192,-1.0581283569335938
4213,-1.0581283569335938
4218,-1.0581283569335938
4225,-1.0581283569335938
4237,-1.0581283569335938
4243,-1.0581283569335938
4264,-1.0581283569335938
